Becken-ID,Bad-ID,Beckentyp,"Abweichende Form","Lage des Beckens",Fläche,Länge,Breite,"Gleichmäßige Tiefe",Variofunktion,"Tiefe Minimum","Tiefe Maximum","Stufen Hubboden",Sprungbecken,"Besondere Aspekte",Schwimmen,Wasserball,Kunstspringen,Turmspringen,Kanu,Synchronschwimmen,Rettungsschwimmen,Anfängerschwimmen,"Sonstige Sportarten","Anzahl Bahnen"
13589,6112,Schwimmerbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,4
13592,6114,Schwimmerbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,
13593,6114,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
13595,6116,Schwimmerbecken,nein,,1290,50,25,,nein,,,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,
13596,6116,Springerbecken,,,141,,,,nein,,,,nein,,,,,,,,,,,
13597,6117,Schwimmerbecken,nein,,,25,,,nein,,,,nein,,,,,,,,,,,4
13598,6117,Nichtschwimmerbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13599,6117,Springerbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13600,6117,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13602,6119,Schwimmerbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,
13603,6119,Nichtschwimmerbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13604,6119,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13605,6120,Schwimmerbecken,nein,,,,,,nein,,,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,
13606,6121,Schwimmerbecken,nein,,,50,,,nein,,,,ja,"Nichtschwimmerbereich integriert",,,,,,,,,,
13607,6121,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13608,6123,Schwimmerbecken,nein,,,,,,nein,,,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,
13628,6139,Schwimmerbecken,nein,,,25,,,nein,,,,ja,,,,,,,,,,,
13629,6139,Nichtschwimmerbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13630,6139,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13631,6139,Nichtschwimmerbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13632,6140,Schwimmerbecken,ja,,,,,nein,nein,,,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,
13633,6140,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13634,6141,Schwimmerbecken,,,,34,15,,nein,,,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,
13635,6141,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13636,6142,Schwimmerbecken,ja,,,,,nein,nein,,,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,
13637,6142,Kleinkinderbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
13638,6143,Schwimmerbecken,nein,,,25,,,nein,,,,nein,,,,,,,,,,,5
13639,6143,Kleinkinderbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
13640,6143,Nichtschwimmerbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13641,6143,Warmsprudelbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13642,6143,Kaltwasser-Tretbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13643,6143,Schwimmerbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,
13644,6143,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
13645,6144,Springerbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,
13646,6144,Schwimmerbecken,nein,,,25,,,nein,,,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,
13647,6144,Kleinkinderbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
13648,6145,Schwimmerbecken,nein,,,50,,nein,nein,,,,ja,,,,,,,,,,,
13649,6145,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
13650,6145,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
13652,6147,Schwimmerbecken,nein,,,50,,,nein,,,,nein,,,,,,,,,,,6
13653,6147,Nichtschwimmerbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13654,6147,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13655,6147,Kaltwasser-Tretbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13657,6149,Schwimmerbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,
13659,6151,Schwimmerbecken,nein,,,,,,nein,,,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,
13660,6151,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13661,6152,Schwimmerbecken,nein,,,25,8,nein,nein,1.2,3.2,,ja,,,,,,,,,,,
13662,6152,Kleinkinderbecken,ja,,25,,,,nein,,,,nein,,,,,,,,,,,
13663,6153,Naturbecken,ja,,,,,nein,nein,,,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,
13664,6153,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13665,6153,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13667,6155,Nichtschwimmerbecken,nein,,,,,nein,nein,,,,nein,,,,,,,,,,,5
13668,6155,Kleinkinderbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
13676,6160,Nichtschwimmerbecken,ja,,,,,nein,nein,,,,ja,,,,,,,,,,,5
